#
# Data file created by trmeshi_ssv.m on 28-Nov-2016
#
# Vertex list:  x y
 479  Number of vertices
        -9.50223131e-01         6.37159714e-01
         7.92784583e-01         2.55128204e-01
         7.74442673e-01         6.89637171e-01
        -7.74844171e-01        -1.56714816e-01
        -8.05303736e-01         4.22843670e-02
         7.99754694e-01         4.85138060e-01
        -8.43782935e-01         5.82298195e-01
         2.80620040e-01        -6.72872515e-01
         6.81581042e-01        -6.63044517e-01
         7.52381476e-01        -4.23896534e-02
        -3.91528754e-01         7.13135002e-01
        -8.77377305e-01         5.27292699e-01
         7.60189091e-01        -8.31251048e-01
        -6.18315928e-01        -5.16613488e-01
        -8.80116696e-01         4.39612202e-01
        -3.93263230e-01        -6.84672786e-01
        -2.29738760e-01         7.75958823e-01
         8.91901335e-01        -2.11291104e-01
         7.88987602e-01        -1.18869196e-01
        -8.71525449e-01         6.98766075e-01
        -8.72027535e-01        -3.77551384e-01
        -8.18651997e-01         8.36672284e-01
         2.39786836e-01         5.68798167e-01
        -5.01246885e-01         7.32642094e-01
        -7.72987602e-01        -5.13061171e-01
        -9.59337076e-02        -7.49133788e-01
        -3.62949123e-01        -7.86932011e-01
        -7.42133415e-01         1.18518584e-01
         4.95629751e-01         6.37563828e-01
         7.78667661e-01         9.65405797e-02
         8.69121062e-01        -5.63125996e-01
         9.96987832e-02         8.00199028e-01
        -8.93509441e-01         7.83055665e-01
         8.37777160e-01        -5.03783420e-01
        -8.14713432e-01         8.85646668e-01
         4.72152583e-01        -6.58237561e-01
        -9.78286618e-01         5.04910674e-01
         8.47481196e-01        -6.26309326e-01
         3.05610909e-03        -7.97507857e-01
        -8.67551024e-01         9.15135152e-01
